MeldeLandkreisBundesland;11.09.2021;12.09.2021;13.09.2021;14.09.2021;15.09.2021;16.09.2021;17.09.2021;18.09.2021;19.09.2021;20.09.2021;21.09.2021;22.09.2021;23.09.2021;24.09.2021;25.09.2021;26.09.2021;27.09.2021;28.09.2021;29.09.2021;30.09.2021;01.10.2021;02.10.2021;03.10.2021;04.10.2021;05.10.2021;06.10.2021;07.10.2021;08.10.2021;09.10.2021;10.10.2021;11.10.2021;12.10.2021;13.10.2021;14.10.2021;15.10.2021;16.10.2021;17.10.2021;18.10.2021;19.10.2021;20.10.2021;21.10.2021;22.10.2021;23.10.2021;24.10.2021;25.10.2021;26.10.2021;27.10.2021;28.10.2021;29.10.2021;30.10.2021;31.10.2021;01.11.2021;02.11.2021;03.11.2021;04.11.2021;05.11.2021;06.11.2021;07.11.2021;08.11.2021;09.11.2021;10.11.2021;11.11.2021;12.11.2021;13.11.2021;14.11.2021;15.11.2021;16.11.2021;17.11.2021;18.11.2021;19.11.2021;20.11.2021;21.11.2021;22.11.2021;23.11.2021;24.11.2021;25.11.2021;26.11.2021;27.11.2021;28.11.2021;29.11.2021;30.11.2021;01.12.2021;02.12.2021;03.12.2021;04.12.2021;05.12.2021;06.12.2021;07.12.2021;08.12.2021;09.12.2021;10.12.2021;11.12.2021;12.12.2021;13.12.2021;14.12.2021;15.12.2021;16.12.2021;17.12.2021;18.12.2021;19.12.2021;20.12.2021;21.12.2021;22.12.2021;23.12.2021;24.12.2021;25.12.2021;26.12.2021;27.12.2021;28.12.2021;29.12.2021;30.12.2021;31.12.2021;01.01.2022;02.01.2022;03.01.2022;04.01.2022;05.01.2022;06.01.2022;07.01.2022;08.01.2022;09.01.2022;10.01.2022;11.01.2022;12.01.2022;13.01.2022;14.01.2022;15.01.2022;16.01.2022;17.01.2022;18.01.2022;19.01.2022;20.01.2022;21.01.2022;22.01.2022;23.01.2022;24.01.2022;25.01.2022;26.01.2022;27.01.2022;28.01.2022;29.01.2022;30.01.2022;31.01.2022;01.02.2022;02.02.2022;03.02.2022;04.02.2022;05.02.2022;06.02.2022;07.02.2022;08.02.2022;09.02.2022;10.02.2022;11.02.2022;12.02.2022;13.02.2022;14.02.2022;15.02.2022;16.02.2022;17.02.2022;18.02.2022;19.02.2022;20.02.2022;21.02.2022;22.02.2022;23.02.2022;24.02.2022;25.02.2022;26.02.2022;27.02.2022;28.02.2022;01.03.2022;02.03.2022;03.03.2022;04.03.2022;05.03.2022;06.03.2022;07.03.2022;08.03.2022;09.03.2022;10.03.2022;11.03.2022;12.03.2022;13.03.2022;14.03.2022;15.03.2022;16.03.2022;17.03.2022;18.03.2022;19.03.2022;20.03.2022;21.03.2022;22.03.2022;23.03.2022;24.03.2022;25.03.2022;26.03.2022;27.03.2022;28.03.2022;29.03.2022;30.03.2022;31.03.2022;01.04.2022;02.04.2022;03.04.2022;04.04.2022;05.04.2022;06.04.2022;07.04.2022;08.04.2022;09.04.2022;10.04.2022;11.04.2022;12.04.2022;13.04.2022;14.04.2022;15.04.2022;16.04.2022;17.04.2022;18.04.2022;19.04.2022;20.04.2022;21.04.2022;22.04.2022;23.04.2022;24.04.2022;25.04.2022;26.04.2022;27.04.2022;28.04.2022;29.04.2022;30.04.2022;01.05.2022;02.05.2022;03.05.2022;04.05.2022;05.05.2022;06.05.2022;07.05.2022;08.05.2022;09.05.2022;10.05.2022;11.05.2022;12.05.2022;13.05.2022;14.05.2022;15.05.2022;16.05.2022;17.05.2022;18.05.2022;19.05.2022;20.05.2022;21.05.2022;22.05.2022;23.05.2022;24.05.2022;25.05.2022;26.05.2022;27.05.2022;28.05.2022;29.05.2022;30.05.2022;31.05.2022;01.06.2022;02.06.2022;03.06.2022;04.06.2022;05.06.2022;06.06.2022;07.06.2022;08.06.2022;09.06.2022;10.06.2022;11.06.2022;12.06.2022;13.06.2022;14.06.2022;15.06.2022;16.06.2022;17.06.2022;18.06.2022;19.06.2022;20.06.2022;21.06.2022;22.06.2022;23.06.2022;24.06.2022;25.06.2022;26.06.2022;27.06.2022;28.06.2022;29.06.2022;30.06.2022;01.07.2022;02.07.2022;03.07.2022;04.07.2022;05.07.2022;06.07.2022;07.07.2022;08.07.2022;09.07.2022;10.07.2022;11.07.2022;12.07.2022;13.07.2022;14.07.2022;15.07.2022;16.07.2022;17.07.2022;18.07.2022;19.07.2022;20.07.2022;21.07.2022;22.07.2022;23.07.2022;24.07.2022;25.07.2022;26.07.2022;27.07.2022;28.07.2022;29.07.2022;30.07.2022;31.07.2022;01.08.2022;02.08.2022;03.08.2022;04.08.2022;05.08.2022;06.08.2022;07.08.2022;08.08.2022;09.08.2022;10.08.2022;11.08.2022;12.08.2022;13.08.2022;14.08.2022;15.08.2022;16.08.2022;17.08.2022;18.08.2022;19.08.2022;20.08.2022;21.08.2022;22.08.2022;23.08.2022;24.08.2022;25.08.2022;26.08.2022;27.08.2022;28.08.2022;29.08.2022;30.08.2022;31.08.2022;01.09.2022;02.09.2022;03.09.2022;04.09.2022;05.09.2022;06.09.2022;07.09.2022;08.09.2022;09.09.2022;10.09.2022;11.09.2022;12.09.2022
Baden-Württemberg;93.4;79.1;91.8;90.9;91.3;92.9;94.3;92.4;94.1;93.2;88.8;83.8;80.7;80.9;79.8;80.2;80.9;79.0;80.3;82.9;82.4;82.4;82.8;84.4;80.3;78.6;78.3;80.2;82.7;85.9;86.1;80.8;84.8;85.7;88.5;93.1;96.2;98.1;96.6;103.1;95.7;122.8;127.9;136.0;142.4;143.1;148.3;161.3;171.1;181.1;187.8;195.6;189.3;165.7;173.3;193.1;211.2;224.8;235.1;256.9;296.9;316.0;332.3;352.6;370.3;386.0;377.0;382.8;397.7;414.0;421.3;438.0;454.2;459.5;470.0;476.5;489.9;505.9;514.7;519.6;511.5;508.9;519.5;517.6;525.3;523.4;533.2;516.7;507.6;505.4;491.7;467.5;462.6;457.5;429.4;403.4;382.3;370.2;353.1;345.4;345.6;328.9;306.7;291.0;274.2;252.9;220.9;222.0;212.4;210.5;215.4;218.5;229.7;235.1;238.4;238.7;251.7;269.5;256.4;269.5;299.7;320.7;324.1;357.1;347.5;478.7;519.5;538.9;545.9;549.8;575.7;616.9;667.2;734.3;795.8;854.5;877.4;869.7;969.4;1024.1;1081.7;1123.4;1154.4;1191.4;1214.8;1284.8;1363.8;1414.7;1466.0;1524.0;1515.5;1537.4;1542.7;1564.5;1585.0;1611.6;1641.4;1646.9;1624.4;1643.0;1645.9;1606.0;1615.9;1615.5;1561.7;1525.8;1494.5;1452.0;1444.2;1434.2;1405.8;1402.1;1355.3;1357.8;1368.0;1398.8;1451.0;1486.0;1484.9;1552.1;1646.8;1701.0;1790.9;1833.8;1871.1;1901.3;1895.9;1912.2;1927.2;1932.9;1952.6;1942.4;1951.7;1926.2;1939.4;1921.2;1868.5;1675.3;1553.4;1746.4;1696.0;1639.0;1586.9;1523.7;1376.9;1311.1;1363.5;1277.9;1202.1;1130.2;1084.5;998.4;957.0;1045.9;1014.3;995.3;976.2;812.0;737.8;698.3;521.7;648.6;678.7;669.5;746.2;708.2;679.5;834.5;796.2;738.1;684.8;643.3;599.8;578.1;578.4;536.1;523.5;511.6;498.1;463.5;447.9;478.9;471.3;464.6;445.2;439.9;414.2;400.6;409.9;380.8;356.5;334.7;315.3;296.4;286.9;274.1;248.7;227.4;179.4;180.9;167.4;162.4;167.0;167.5;178.5;211.1;213.6;203.6;196.5;154.0;186.1;211.4;238.9;255.5;243.5;236.0;317.3;330.6;332.8;271.6;299.1;283.4;274.8;313.1;360.2;394.1;486.7;493.6;474.0;464.5;508.8;519.2;553.6;564.4;583.7;561.8;549.1;598.8;623.9;654.0;681.8;719.7;692.5;680.1;729.4;756.1;801.2;780.9;843.5;816.9;803.8;849.7;847.6;826.1;824.8;792.2;763.5;751.0;764.6;735.4;716.0;680.9;646.0;620.6;608.0;580.7;518.6;479.7;442.9;429.0;407.0;399.1;388.7;366.3;337.2;312.8;285.6;268.7;262.5;256.1;238.2;230.3;225.0;218.7;207.7;202.5;199.6;189.5;186.8;181.2;175.9;167.5;163.1;167.6;162.6;165.2;165.4;163.3;154.9;151.2;154.7;152.8;155.5;159.2;160.0;153.7;149.8
Bayern;83.1;84.2;86.4;85.8;81.7;84.3;86.7;86.3;86.0;87.1;87.0;85.2;80.5;82.0;74.6;81.7;82.8;81.2;83.9;86.4;87.8;89.7;89.1;90.1;90.0;88.6;87.9;90.5;89.9;91.3;92.6;92.3;91.4;96.7;100.2;105.2;109.0;112.9;116.1;128.6;141.0;153.9;163.7;172.7;179.1;186.7;191.3;208.7;221.9;230.7;236.1;248.1;248.9;228.4;234.8;256.8;284.0;293.0;316.2;348.0;395.8;427.4;454.9;478.7;496.4;525.7;554.2;568.4;609.5;625.3;635.6;639.4;640.0;644.9;644.3;641.1;652.5;634.5;632.2;627.6;618.2;589.3;571.6;561.5;543.7;529.6;526.4;520.6;493.2;471.2;447.7;427.5;408.6;399.1;382.6;356.0;322.5;313.4;300.1;288.7;285.2;276.7;255.6;246.0;229.1;210.7;192.7;190.4;188.5;172.6;179.3;182.6;181.6;183.3;191.0;199.9;213.3;234.7;243.8;269.8;295.1;321.8;339.5;375.1;420.2;473.1;500.8;527.4;551.5;576.3;607.1;661.2;755.0;822.2;863.9;922.2;984.1;1068.0;1159.0;1218.0;1301.2;1350.5;1384.6;1421.7;1451.4;1550.0;1695.6;1741.2;1756.0;1786.0;1819.1;1840.4;1817.5;1811.4;1823.7;1798.3;1772.0;1783.3;1764.8;1782.1;1795.5;1782.4;1773.5;1789.2;1761.9;1763.3;1804.1;1717.3;1708.2;1695.3;1696.0;1684.4;1574.3;1567.1;1580.9;1550.7;1507.1;1541.9;1560.4;1619.3;1699.9;1788.6;1876.3;1938.7;1990.7;2027.0;2008.5;2079.8;2141.9;2175.3;2133.5;2134.5;2185.9;2183.4;2199.9;2199.9;2197.5;2184.6;2178.1;2143.9;2083.8;2042.1;1992.6;1899.5;1838.2;1803.8;1693.0;1628.0;1514.5;1383.2;1321.7;1289.5;1273.2;1218.2;1162.9;1103.5;1061.1;975.7;936.4;939.5;862.5;768.9;774.1;780.8;805.8;807.5;802.4;849.2;868.1;839.8;788.0;772.0;684.3;631.4;700.2;672.5;650.1;642.3;631.2;576.1;543.5;608.5;594.0;593.0;578.0;560.6;508.6;483.4;514.8;480.3;442.3;405.4;381.5;344.6;323.9;333.7;299.5;277.2;221.5;226.4;201.5;190.0;214.3;216.7;223.9;263.6;267.2;254.8;247.3;192.6;243.2;275.4;308.5;320.9;308.9;300.1;425.9;434.3;440.7;360.8;390.0;368.8;357.7;408.1;453.2;492.8;580.0;568.1;547.8;537.0;564.0;575.7;609.9;632.5;660.0;637.0;626.3;669.1;695.1;713.3;748.0;757.1;735.0;724.4;783.7;790.9;811.8;765.3;874.7;848.7;831.9;890.5;913.8;952.9;958.3;953.8;916.8;899.6;905.1;873.0;840.0;786.0;739.2;709.2;695.4;645.1;575.6;520.5;484.0;456.0;439.2;432.3;382.7;379.1;353.9;336.1;316.1;301.9;296.5;215.2;237.7;246.7;246.4;237.1;227.9;223.1;271.8;256.1;236.5;231.4;231.3;222.4;218.8;228.3;229.4;227.8;222.7;221.3;214.2;209.6;209.3;207.7;216.8;223.3;226.1;218.5;215.0
Berlin;83.8;84.6;84.0;85.2;85.3;85.8;83.4;78.1;78.3;78.0;75.7;70.1;69.1;69.1;68.8;69.1;69.2;62.0;66.0;67.7;74.4;75.8;75.3;75.2;76.6;76.6;78.2;78.4;77.3;78.9;77.9;79.4;80.4;79.1;84.7;82.1;85.7;86.2;92.5;95.7;108.6;113.7;115.8;115.2;114.9;118.7;125.0;129.4;137.9;141.6;139.2;140.2;156.1;157.4;165.6;180.0;199.1;191.6;194.5;220.8;227.8;263.4;279.2;300.2;305.7;306.2;315.8;339.0;340.7;346.0;355.8;343.0;338.0;349.0;348.6;344.8;357.0;369.6;371.6;371.5;372.1;370.3;361.5;360.7;351.4;343.7;341.4;336.8;342.7;352.8;342.2;324.0;314.7;309.7;307.8;296.2;288.1;296.7;314.0;315.4;316.7;325.8;326.1;333.6;322.3;280.5;267.9;278.2;263.1;265.6;256.2;281.0;282.7;264.9;265.1;286.8;336.3;416.9;511.5;647.9;685.7;694.1;737.2;856.4;918.6;949.8;956.9;965.3;947.7;962.8;1055.1;1154.2;1258.3;1473.1;1483.8;1464.5;1593.5;1795.5;1863.2;1829.4;1846.0;1848.1;1821.0;1761.5;1694.4;1790.2;1803.4;1780.7;1727.9;1719.3;1640.4;1564.9;1495.7;1413.8;1324.9;1287.4;1275.4;1135.2;1118.0;1034.4;977.1;1085.4;1111.2;1105.9;1079.1;1079.6;1077.4;1137.3;1137.0;1109.8;1106.7;1043.0;966.4;925.6;901.9;892.4;886.6;883.7;853.1;687.7;692.3;727.5;776.0;766.5;765.6;871.8;1102.4;1117.2;1144.9;1100.8;1076.2;1071.9;997.2;1067.1;1061.1;1087.4;1109.9;1122.7;1123.0;1076.5;1005.4;953.9;915.8;889.1;872.4;867.6;814.4;811.1;767.3;752.3;714.9;698.2;696.4;659.0;606.2;601.5;578.2;484.3;483.6;482.3;357.7;342.7;350.6;344.0;413.3;404.1;401.0;519.1;500.0;521.7;525.3;519.2;506.3;503.1;458.5;457.8;415.8;369.9;343.9;338.3;337.9;350.0;338.3;347.9;356.7;375.6;377.7;375.0;347.0;321.4;304.9;282.0;268.3;261.0;261.4;250.2;250.8;251.8;202.2;206.0;200.7;199.1;189.2;179.6;189.7;217.6;199.2;191.0;189.0;143.3;173.0;182.3;207.0;220.4;216.0;214.2;292.8;278.8;281.8;288.6;309.2;296.6;294.1;334.1;357.5;403.3;434.6;434.7;418.3;415.9;430.5;429.5;423.2;472.7;473.0;457.7;453.6;491.8;507.2;537.4;511.0;520.1;505.6;500.3;504.0;487.4;486.3;506.5;507.4;496.7;492.5;493.8;482.9;468.9;445.4;430.4;414.8;409.6;415.4;418.0;412.1;409.8;391.4;377.6;375.0;360.8;334.1;338.0;326.0;318.4;308.5;305.9;295.5;290.4;289.7;293.4;292.6;284.1;282.1;293.1;276.5;256.6;233.4;212.5;205.8;203.8;173.2;161.5;226.4;251.6;282.9;277.7;277.2;283.3;289.9;230.2;207.3;203.1;198.6;197.5;208.4;193.2;197.6;195.7;193.2;187.0;185.8
Brandenburg;42.7;43.4;44.3;42.6;43.1;44.2;43.7;41.2;41.0;41.1;39.8;39.4;37.4;38.1;36.4;36.0;35.9;34.7;34.5;36.8;38.5;37.8;38.4;39.4;40.3;41.5;47.1;46.7;50.8;52.9;49.3;50.3;50.5;51.0;53.5;54.2;56.1;56.9;57.8;63.9;70.9;78.5;81.7;84.4;86.1;90.0;95.5;104.1;110.6;116.4;121.8;128.3;126.3;134.1;159.2;179.6;210.6;227.1;232.5;245.0;258.2;285.7;323.8;342.7;359.3;376.1;405.6;433.4;465.9;507.1;552.4;559.5;570.3;600.1;620.3;655.7;663.6;674.7;709.4;725.6;727.8;722.4;655.0;670.9;662.6;646.9;643.2;636.6;635.1;601.8;672.9;644.1;641.5;657.9;642.6;613.9;586.7;577.0;566.1;581.7;585.4;569.7;552.3;528.7;503.5;451.0;402.0;391.7;384.9;363.8;357.6;354.7;356.2;366.5;364.5;361.0;400.4;435.9;441.9;481.4;503.9;518.0;491.8;463.0;479.0;503.3;539.7;573.2;580.7;635.3;689.8;788.9;927.6;1023.9;1076.1;1102.3;1194.8;1261.6;1291.3;1291.5;1308.1;1322.6;1324.6;1385.3;1463.0;1576.1;1683.0;1682.6;1645.4;1633.6;1660.8;1654.2;1711.3;1784.4;1778.1;1797.0;1811.8;1813.7;1767.8;1753.1;1690.4;1653.5;1669.3;1656.5;1616.1;1544.6;1455.8;1451.9;1432.1;1416.5;1386.9;1430.4;1397.4;1423.6;1430.3;1406.3;1417.3;1396.5;1446.1;1435.1;1440.3;1471.6;1499.4;1518.6;1493.3;1566.9;1554.2;1582.5;1600.0;1594.2;1484.9;1457.9;1528.2;1496.8;1428.8;1425.2;1389.8;1332.2;1315.4;1288.3;1212.2;1192.7;1125.2;1106.3;1049.4;1034.9;1016.5;943.1;888.7;832.3;776.9;747.9;737.2;706.4;652.1;631.7;633.8;528.0;498.8;490.9;364.4;369.1;433.6;478.0;559.4;541.2;532.8;651.1;667.0;616.9;588.5;554.0;537.3;528.2;473.9;431.1;402.2;389.8;376.8;364.9;361.8;365.2;337.4;341.4;313.0;312.8;304.6;303.1;279.8;239.2;224.0;219.9;202.7;196.6;195.0;181.8;172.6;159.0;126.5;119.8;115.8;114.3;121.9;118.4;130.9;161.2;164.4;159.5;158.1;124.0;128.3;152.5;175.1;194.7;190.5;189.3;254.9;275.8;285.1;280.7;293.2;283.2;281.4;292.1;317.0;354.9;386.9;391.8;380.2;376.6;403.4;409.2;428.8;451.0;448.0;439.0;433.1;441.9;421.2;470.4;486.4;509.0;499.6;496.6;515.8;528.6;512.5;492.0;493.2;479.1;476.3;489.5;493.4;502.2;514.4;515.4;507.0;504.4;514.2;509.3;508.3;480.1;456.0;443.5;440.6;422.2;391.2;367.1;372.5;365.5;355.9;353.4;352.6;327.4;344.6;347.4;349.7;342.2;340.2;360.8;343.9;342.1;336.9;330.3;323.7;321.7;297.9;290.6;303.5;302.1;302.2;296.7;295.4;291.9;287.0;264.4;256.2;256.9;251.7;250.5;254.3;234.4;253.5;279.6;276.7;271.7;270.2
Bremen;125.0;114.4;117.3;117.3;114.1;112.8;108.9;105.9;104.8;110.9;108.2;102.9;106.7;111.3;115.4;114.4;109.4;112.8;115.9;116.7;121.0;114.4;115.1;113.4;114.1;106.0;108.8;105.7;103.1;104.1;102.3;100.9;96.0;85.6;79.4;77.6;72.9;75.7;72.8;70.3;72.3;72.5;70.4;70.6;67.5;69.4;74.0;75.1;77.6;79.1;85.0;85.7;86.0;87.0;84.2;83.1;85.4;87.6;88.8;87.8;92.0;92.3;100.6;103.2;101.2;113.4;115.3;114.4;133.5;140.4;155.0;166.4;179.1;183.6;201.0;190.4;219.4;223.3;213.9;218.9;219.5;213.0;228.0;203.8;201.9;172.3;214.7;215.5;217.2;223.3;227.0;228.5;191.6;220.8;229.8;226.6;230.8;253.6;263.5;264.9;277.2;280.4;285.5;296.6;284.7;264.9;270.1;273.6;264.5;285.7;278.6;328.3;402.0;418.7;468.6;516.4;575.8;713.7;799.6;983.3;1032.6;1028.0;1185.1;1296.8;1349.2;1427.2;1378.4;1401.2;1389.3;1297.4;1295.6;1294.9;1258.7;1325.6;1256.7;1387.8;1496.3;1581.5;1491.0;1588.7;1537.8;1516.2;1575.9;1419.7;1296.5;1284.5;1322.2;1286.5;1321.1;1313.0;1362.1;1402.8;1376.2;1303.7;1257.4;1243.1;1255.3;1059.4;1004.8;964.8;875.1;877.3;882.0;845.6;818.1;750.3;765.6;829.4;775.6;749.6;698.8;711.9;708.2;703.1;650.8;663.7;615.6;588.4;723.0;730.7;781.3;839.8;882.0;850.3;842.9;1001.6;1117.6;1165.1;1219.8;1261.4;1344.4;1412.8;1348.3;1331.4;1322.4;1400.3;1223.3;1424.7;1564.6;1663.5;1835.1;1868.6;1867.6;1807.4;1834.4;1840.2;1567.8;1413.8;1340.5;1142.0;1168.6;1098.2;975.4;1149.0;1179.8;1125.8;1110.2;975.5;1119.9;1054.5;808.8;840.3;852.0;911.9;1114.2;1053.2;1112.3;1196.5;1058.9;990.0;881.9;775.9;707.1;622.8;674.6;693.4;665.3;628.4;663.7;649.0;639.9;655.9;602.7;632.1;604.3;610.9;548.7;542.8;569.6;538.9;498.4;465.4;394.0;449.9;443.4;465.5;419.6;390.5;311.0;286.3;243.6;240.4;254.7;246.4;241.4;291.0;303.9;272.9;307.9;248.6;258.8;302.1;374.2;403.0;380.4;419.9;509.9;554.0;517.1;527.7;536.7;499.0;534.0;544.3;573.3;617.1;650.3;693.7;674.9;768.8;790.9;779.7;784.7;816.2;802.3;730.6;721.8;741.2;732.7;704.0;726.9;776.2;762.1;761.3;760.7;780.1;807.5;836.0;848.8;834.1;834.0;745.4;735.3;684.0;716.0;731.9;715.0;714.4;719.7;763.1;698.5;632.7;618.7;602.7;602.7;558.1;499.9;498.1;451.1;420.2;405.4;405.4;366.5;346.4;344.1;354.2;363.2;353.6;353.2;352.3;311.9;349.1;328.8;343.2;332.1;331.7;307.3;294.1;270.7;269.2;280.8;275.4;275.4;271.9;271.3;270.2;275.4;266.3;257.2;256.9;260.4;270.8;261.6;271.4;288.2;281.7;281.6
Hamburg;77.8;76.0;75.4;70.7;64.3;65.5;64.1;60.2;60.4;60.6;57.5;52.6;50.1;52.4;52.0;54.2;56.6;54.1;54.2;51.6;58.4;68.7;63.1;64.2;68.1;61.0;57.4;56.0;54.9;55.2;51.7;50.8;50.4;51.2;51.2;52.2;57.9;59.4;58.8;61.6;70.3;79.1;86.4;92.2;100.5;97.1;89.4;92.4;96.7;100.4;100.7;108.2;115.2;108.7;107.4;117.8;125.5;130.0;133.4;138.6;131.3;135.0;136.5;142.7;160.2;167.0;164.5;151.5;158.8;159.5;157.5;183.5;195.0;196.8;186.9;185.4;200.4;210.7;221.8;227.9;213.5;204.2;195.7;203.2;204.3;213.2;224.5;217.9;211.1;194.2;207.6;216.7;225.9;231.6;231.6;228.6;236.0;242.7;268.4;287.3;288.2;280.1;297.5;307.1;305.4;310.4;318.4;326.3;272.4;266.6;271.9;304.1;347.4;360.4;397.2;390.2;390.8;409.8;444.1;497.1;575.2;560.9;581.1;568.9;576.3;665.0;737.7;831.5;805.8;900.1;994.6;1083.6;1221.9;1394.7;1552.9;1535.9;1547.4;1250.3;1616.2;1673.4;1747.2;1891.4;1780.3;1598.4;1511.1;1485.6;1474.4;1437.4;1570.9;1526.3;1405.4;1299.0;1226.8;1205.6;1210.9;1292.5;1232.6;1085.4;1013.1;980.2;897.7;878.0;954.6;945.8;800.3;701.6;670.3;635.9;583.9;598.7;618.3;548.2;496.7;483.4;539.1;545.9;611.0;619.4;596.0;587.7;604.6;643.6;695.0;770.5;779.0;754.3;827.5;843.8;924.4;981.3;1102.3;1116.8;988.1;969.0;1021.3;1078.7;1151.7;1237.5;1268.8;1107.9;1060.6;1086.2;1089.7;1103.2;1196.2;1189.9;1111.1;1010.7;994.1;987.1;1041.0;1157.5;1141.5;1040.5;979.5;1000.4;950.1;955.7;1008.8;972.3;863.8;708.1;677.9;703.7;798.5;909.8;937.0;905.5;909.4;931.7;863.9;853.0;833.9;837.6;705.8;545.1;505.0;522.8;517.8;544.0;535.3;505.1;443.0;457.1;468.3;454.7;476.4;478.2;455.2;373.4;359.7;360.9;345.3;302.9;273.4;332.9;281.3;261.6;193.3;228.1;203.2;181.2;238.2;250.2;244.1;280.5;295.5;265.7;246.5;191.1;295.3;265.6;331.2;375.4;339.1;318.9;501.9;459.8;472.1;483.3;501.9;465.1;415.0;531.4;490.3;531.3;631.4;690.9;654.5;611.9;707.2;687.3;648.6;682.7;692.3;648.7;714.1;687.2;634.2;607.1;633.2;660.5;617.5;671.0;657.8;559.7;554.0;571.3;580.7;537.9;490.9;533.4;521.5;481.8;479.9;520.2;484.6;444.9;476.9;399.8;359.2;346.1;373.5;335.0;347.2;329.7;302.6;306.8;288.2;279.9;255.6;238.2;271.0;230.8;227.4;228.9;268.0;248.7;226.2;249.3;231.5;242.2;239.5;236.2;213.3;198.5;226.7;193.5;193.5;192.8;187.7;172.5;151.9;179.5;142.6;101.6;158.5;163.3;152.0;137.3;171.1;131.9;137.8;146.8;151.2;140.3;123.7
Hessen;106.3;105.3;103.9;100.6;95.5;90.9;86.8;81.0;79.0;78.1;74.4;72.4;68.6;66.2;66.1;64.8;66.1;63.8;64.0;65.3;65.2;63.6;63.5;63.6;62.2;61.4;60.2;60.8;60.6;62.6;62.4;61.2;57.9;55.6;54.0;54.5;55.7;56.1;53.6;61.2;65.7;70.1;73.0;79.3;80.2;82.2;92.9;103.0;111.6;114.7;118.8;124.2;122.9;126.3;130.0;135.8;141.8;145.0;149.0;149.7;156.4;164.3;171.6;173.1;181.6;184.9;188.4;195.5;207.9;214.6;218.6;228.4;236.1;240.0;252.2;258.0;268.3;276.3;276.4;278.2;272.7;268.3;279.2;270.7;271.0;271.1;269.2;270.1;268.4;266.7;264.6;263.5;258.3;259.5;247.6;239.1;231.2;221.3;211.4;202.3;202.3;201.1;196.8;195.8;195.8;186.7;169.1;167.6;168.0;175.1;180.6;193.8;196.7;202.0;204.1;222.6;252.3;281.9;300.2;336.3;363.1;376.9;386.1;417.6;468.2;522.1;579.5;602.3;626.7;676.7;694.9;739.6;827.7;873.8;919.7;937.7;1025.4;1093.4;1202.1;1285.5;1351.1;1395.8;1411.0;1477.7;1533.0;1579.9;1621.8;1628.8;1650.6;1670.0;1664.0;1684.4;1674.3;1668.2;1636.0;1593.6;1538.9;1475.7;1396.2;1310.5;1273.5;1211.6;1202.1;1195.5;1138.1;1092.8;1023.4;1005.1;974.0;962.7;944.9;921.5;881.8;884.7;877.5;879.3;911.8;919.8;933.9;978.9;1018.5;1028.9;1072.4;1088.3;1084.4;1133.0;1154.3;1212.9;1256.4;1285.9;1275.8;1284.5;1364.5;1404.8;1455.8;1484.9;1494.6;1534.0;1532.9;1529.4;1542.4;1506.3;1491.1;1493.6;1438.2;1418.2;1331.3;1290.4;1223.1;1153.5;1104.2;1083.6;1060.2;1096.7;1081.5;1055.2;1045.5;922.8;934.6;906.7;786.6;795.2;874.8;893.9;994.4;970.6;945.5;1060.8;1017.2;982.2;911.9;862.4;776.1;739.7;737.8;706.8;649.9;631.2;608.0;559.4;547.5;609.8;594.0;599.7;596.4;597.0;565.4;547.8;548.5;523.7;480.6;436.8;413.4;384.9;376.6;372.8;346.5;327.6;273.6;283.0;269.7;262.3;272.6;286.0;309.5;364.6;380.6;367.9;360.3;275.1;337.2;394.8;419.0;469.4;453.6;447.1;640.5;669.4;672.2;566.1;603.6;576.9;563.5;589.3;612.1;667.9;785.4;762.5;735.0;720.1;762.0;787.0;768.5;805.6;821.5;793.9;775.2;827.1;819.1;843.4;886.7;888.2;856.8;839.0;926.0;974.4;991.8;1018.6;1075.6;1042.2;1022.5;1070.5;1041.0;1073.2;1014.6;952.4;907.9;887.3;904.1;858.0;778.3;814.4;768.3;727.6;710.2;669.4;615.4;575.5;554.4;525.8;498.1;489.8;484.0;457.8;433.6;402.8;404.4;384.2;374.6;373.2;363.9;367.9;375.9;355.3;339.7;333.9;327.7;307.2;295.5;276.7;255.9;246.8;241.1;247.7;254.6;249.4;250.0;249.5;241.2;236.6;237.9;246.0;250.6;260.7;263.2;252.1;248.0
